Place,Competitor,DOB,Nationality,Score,Date,res,City
1403, Matthew DICKINSON,12 MAR 1996, GBR, 955, 23 APR 2023,GBR,London
1404, Benjamin NGANDU,21 MAR 1990, KEN, 955, 17 SEP 2023,AUS,presented by Asics
1404, Benjamin NGANDU,21 MAR 1990, KEN, 955, 27 AUG 2023,JPN,Sapporo
1404, Benjamin NGANDU,21 MAR 1990, KEN, 955, 05 MAR 2023,JPN,Tokyo
1404, Benjamin NGANDU,21 MAR 1990, KEN, 955, 05 MAR 2023,JPN,Tokyo
1405, Elvis TAU,01 JUN 1996, RSA, 955, 03 JUN 2023,RSA,Gqeberha
1405, Elvis TAU,01 JUN 1996, RSA, 955, 12 MAR 2023,RSA,Durban
1406, Noel ADRIEN,06 OCT 1995, BEL, 955, 03 DEC 2023,ESP,Valencia
1406, Noel ADRIEN,06 OCT 1995, BEL, 955, 22 OCT 2023,ESP,Valencia
1406, Noel ADRIEN,06 OCT 1995, BEL, 955, 17 JUN 2023,Ciney,Stade Rebompré
1407, Agus PRAYOGO,23 AUG 1985, INA, 955, 22 OCT 2023,INA,Jakarta
1407, Agus PRAYOGO,23 AUG 1985, INA, 955, 05 OCT 2023,CHN,Qiantang River Green Belt
1407, Agus PRAYOGO,23 AUG 1985, INA, 955, 31:39.75 ,CHN,Asian Athletics Championships
1407, Agus PRAYOGO,23 AUG 1985, INA, 955, 02 JUL 2023,AUS,Gold Coast
1407, Agus PRAYOGO,23 AUG 1985, INA, 955, 31:53.52 ,AUS,Southeast Asian Games
1407, Agus PRAYOGO,23 AUG 1985, INA, 955, 06 MAY 2023,CAM,Morodok Techo National Stadium
1408, Juho YLINEN,28 OCT 1997, FIN, 955, 14 OCT 2023,FIN,Vantaa
1408, Juho YLINEN,28 OCT 1997, FIN, 955, 30:34.49 ,FIN,Finnish Championships
1408, Juho YLINEN,28 OCT 1997, FIN, 955, 31:03.07 ,FIN,Kestävyysjuoksu- ja kilpakävelykarnevaalit
1408, Juho YLINEN,28 OCT 1997, FIN, 955, 07 MAY 2023,FIN,Helsinki - XC 4.0km
1408, Juho YLINEN,28 OCT 1997, FIN, 955, 07 MAY 2023,FIN,Helsinki - XC 10.0km
1408, Juho YLINEN,28 OCT 1997, FIN, 955, 15 APR 2023,FIN,Pyhtää
1409, Hoshiki TANI,30 JUN 1994, JPN, 955, 19 NOV 2023,JPN,Kobe
1409, Hoshiki TANI,30 JUN 1994, JPN, 955, 23 APR 2023,JPN,Gifu
1409, Hoshiki TANI,30 JUN 1994, JPN, 955, 26 FEB 2023,JPN,Osaka
1410, Pierre CARON,1996, FRA, 955, 03 DEC 2023,ESP,Valencia
1410, Pierre CARON,1996, FRA, 955, 08 OCT 2023,FRA,Paris
1410, Pierre CARON,1996, FRA, 955, 11 JUN 2023,FRA,Paris
1410, Pierre CARON,1996, FRA, 955, 21 MAY 2023,FRA,Stade Bachelard
1410, Pierre CARON,1996, FRA, 955, 06 MAY 2023,FRA,Stade des Maradas
1411, Takashi KONO,27 APR 1983, JPN, 955, 05 MAR 2023,JPN,Tokyo
1412, Hicham KABIR,28 FEB 1997, ITA, 955, 26 NOV 2023,ITA,Firenze
1412, Hicham KABIR,28 FEB 1997, ITA, 955, 22 OCT 2023,ITA,Venezia
1412, Hicham KABIR,28 FEB 1997, ITA, 955, 28 JUN 2023,ITA,Campo Comunale
1412, Hicham KABIR,28 FEB 1997, ITA, 955, 17 MAY 2023,ITA,Pista Lino Parzani
1412, Hicham KABIR,28 FEB 1997, ITA, 955, 12 MAR 2023,ITA,Gubbio - XC 10.0km
1413, Aleksey POLTANOV,11 OCT 1989, RUS, 954, 14 OCT 2023,RUS,Orenburg - XC 10.0km
1413, Aleksey POLTANOV,11 OCT 1989, RUS, 954, 03 SEP 2023,RUS,Perm
1413, Aleksey POLTANOV,11 OCT 1989, RUS, 954, 31:15.77 ,RUS,Russian Championships
1413, Aleksey POLTANOV,11 OCT 1989, RUS, 954, 28 MAY 2023,RUS,Kazan
1413, Aleksey POLTANOV,11 OCT 1989, RUS, 954, 14 MAY 2023,RUS,Pushkin
1413, Aleksey POLTANOV,11 OCT 1989, RUS, 954, 05 MAR 2023,RUS,LFK CSKA
1413, Aleksey POLTANOV,11 OCT 1989, RUS, 954, 03 MAR 2023,RUS,LFK CSKA
1414, Arne AGTEN,01 MAR 1995, BEL, 954, 29 OCT 2023,NED,Dublin
1414, Arne AGTEN,01 MAR 1995, BEL, 954, 05 AUG 2023,LUX,Sportcentrum Den Uyt
1414, Arne AGTEN,01 MAR 1995, BEL, 954, 21 JUL 2023,Mol,Sportcentrum Den Uyt
1414, Arne AGTEN,01 MAR 1995, BEL, 954, 15 JUL 2023,Heusden-Zolder - National Events,Stadion De Veen
1414, Arne AGTEN,01 MAR 1995, BEL, 954, 16 APR 2023,NED,Enschede
1414, Arne AGTEN,01 MAR 1995, BEL, 954, 02 APR 2023,NED,Brunssum
1415, Yudai NITTA,10 DEC 2000, JPN, 954, 03 DEC 2023,JPN,Fukuoka
1415, Yudai NITTA,10 DEC 2000, JPN, 954, 15 OCT 2023,JPN,Tokyo
1415, Yudai NITTA,10 DEC 2000, JPN, 954, 30:58.13 ,JPN,24th Chubu Area Corporate Teams Championships
1415, Yudai NITTA,10 DEC 2000, JPN, 954, 14 MAY 2023,JPN,Nagaragawa Stadium
1415, Yudai NITTA,10 DEC 2000, JPN, 954, 23 APR 2023,JPN,Nagano
1415, Yudai NITTA,10 DEC 2000, JPN, 954, 26 FEB 2023,JPN,Osaka
1415, Yudai NITTA,10 DEC 2000, JPN, 954, 05 FEB 2023,JPN,Beppu
1416, Fernando CABADA,22 APR 1982, USA, 954, 13 MAY 2023,USA,Grand Rapids
1416, Fernando CABADA,22 APR 1982, USA, 954, 17 APR 2023,USA,Boston
1416, Fernando CABADA,22 APR 1982, USA, 954, 19 FEB 2023,ESP,Sevilla
1416, Fernando CABADA,22 APR 1982, USA, 954, 15 JAN 2023,USA,Houston
1417, Ho-yeon KIM,06 APR 2000, KOR, 954, 15 OCT 2023,KOR,Mokpo
1417, Ho-yeon KIM,06 APR 2000, KOR, 954, 09 APR 2023,KOR,Gunsan
1417, Ho-yeon KIM,06 APR 2000, KOR, 954, 26 MAR 2023,KOR,Incheon
1418, Masashi HASHIMOTO,22 AUG 1986, JPN, 954, 30:27.25 ,KOR,3rd Chugoku Corporate Long Distance Challenge
1418, Masashi HASHIMOTO,22 AUG 1986, JPN, 954, 20 MAY 2023,JPN,Municipal Stadium
1418, Masashi HASHIMOTO,22 AUG 1986, JPN, 954, 30:12.45 ,JPN,62nd Chugoku Corporate Athletics Championship
1418, Masashi HASHIMOTO,22 AUG 1986, JPN, 954, 30:37.25 ,JPN,1st Chugoku Corporate Long Distance Challenge
1419, Jon KLAIBER,, USA, 954, 14 OCT 2023,USA,Valley Cottage
1419, Jon KLAIBER,, USA, 954, 17 JUN 2023,USA,Duluth
1419, David PALOMO,08 MAR 1983, ESP, 954, 03 DEC 2023,ESP,Valencia
1419, David PALOMO,08 MAR 1983, ESP, 954, 22 OCT 2023,ESP,Valencia
1419, David PALOMO,08 MAR 1983, ESP, 954, 16 APR 2023,ESP,Zaragoza
1419, David PALOMO,08 MAR 1983, ESP, 954, 11 MAR 2023,ESP,Laredo
1419, David PALOMO,08 MAR 1983, ESP, 954, 19 FEB 2023,ESP,Barcelona
1419, David PALOMO,08 MAR 1983, ESP, 954, 15 JAN 2023,ESP,Valencia
1419, David PALOMO,08 MAR 1983, ESP, 954, 08 JAN 2023,ESP,Elgoibar - XC 10.796km
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 03 DEC 2023,ESP,Valencia
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 05 AUG 2023,BEL,Oscar van Rumst Stadion
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 22 JUL 2023,BEL,Stedelijke Atletiekpiste
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 15 JUL 2023,BEL,Stadion De Veen
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 10 JUN 2023,BEL,Putbosstadion
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 18 MAY 2023,BEL,Blaarmeersen
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 07 MAY 2023,BEL,Gerard Bontinckstadion
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 30:27.94 ,BEL,Belgian 10.000m Championships
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 12 MAR 2023,BEL,Gent - Belgian Half Marathon Ch
1421, Ward OOSTERLINCK,08 MAY 1993, BEL, 954, 12 FEB 2023,NED,Schoorl
1422, Jan VERVAET,1990, BEL, 953, 08 OCT 2023,NED,Eindhoven - Belgian Marathon Ch
1422, Jan VERVAET,1990, BEL, 953, 05 AUG 2023,BEL,Oscar van Rumst Stadion
1422, Jan VERVAET,1990, BEL, 953, 21 JUL 2023,BEL,Sportcentrum Den Uyt
1423, Dorian LOUVET,02 OCT 1989, FRA, 953, 11 JUN 2023,FRA,Paris
1423, Dorian LOUVET,02 OCT 1989, FRA, 953, 02 APR 2023,FRA,Paris
1423, Dorian LOUVET,02 OCT 1989, FRA, 953, 05 MAR 2023,FRA,Paris
1424, Charlie BOYLE,13 JAN 1985, AUS, 953, 13 AUG 2023,AUS,Alexandra Headland
1424, Charlie BOYLE,13 JAN 1985, AUS, 953, 02 JUL 2023,AUS,Gold Coast - Oceania Marathon Championships
1425, Ronald VILLY,15 JUN 1992, FRA, 953, 03 DEC 2023,ESP,Valencia
1425, Ronald VILLY,15 JUN 1992, FRA, 953, 23 APR 2023,GER,Hamburg
1426, Ronald COCKX,03 SEP 1994, NED, 953, 19 NOV 2023,NED,Nijmegen
1426, Ronald COCKX,03 SEP 1994, NED, 953, 01 OCT 2023,NED,Breda - Dutch Half Marathon Ch
1426, Ronald COCKX,03 SEP 1994, NED, 953, 30:51.34 ,NED,Dutch 10
1426, Ronald COCKX,03 SEP 1994, NED, 953, 31:21.34 ,NED,Night of the 10
1426, Ronald COCKX,03 SEP 1994, NED, 953, 16 APR 2023,NED,Rotterdam
1426, Ronald COCKX,03 SEP 1994, NED, 953, 02 APR 2023,NED,Brunssum
1426, Ronald COCKX,03 SEP 1994, NED, 953, 12 FEB 2023,NED,Schoorl
1427, Jochen UHRIG,27 JUN 1983, GER, 953, 03 JUN 2023,SWE,Stockholm
1427, Jochen UHRIG,27 JUN 1983, GER, 953, 26 MAR 2023,GER,Hannover
1428, Andile MOTWANI,02 JAN 1997, RSA, 953, 16 SEP 2023,Port Elizabeth - XC 10.0km,Madibaz Stadium
1428, Andile MOTWANI,02 JAN 1997, RSA, 953, 03 JUN 2023,RSA,Gqeberha
1429, Tatsunori HAMASAKI,04 JUL 1988, JPN, 952, 28 MAY 2023,CAN,Ottawa
1429, Tatsunori HAMASAKI,04 JUL 1988, JPN, 952, 05 MAR 2023,JPN,Tokyo
1429, Tatsunori HAMASAKI,04 JUL 1988, JPN, 952, 29 JAN 2023,JPN,Osaka Half Marathon Course
1430, Zhenfei QI,18 MAR 1994, CHN, 952, 19 NOV 2023,HKG,Hong Kong-Zhuhai-Macao Bridge
1430, Zhenfei QI,18 MAR 1994, CHN, 952, 29 OCT 2023,CHN,Beijing
1430, Zhenfei QI,18 MAR 1994, CHN, 952, 21 JUL 2023,Quzhou,Sports Center
1430, Zhenfei QI,18 MAR 1994, CHN, 952, 31:06.95 ,Quzhou,Chinese Champinships
1430, Zhenfei QI,18 MAR 1994, CHN, 952, 27 JUN 2023,Shenyang,Olympic Center
1430, Zhenfei QI,18 MAR 1994, CHN, 952, 29:47.87 ,CHN,2nd National Grand Prix
1430, Zhenfei QI,18 MAR 1994, CHN, 952, 26 APR 2023,CHN,Rizhao
1431, Francisco DE LEON RODRIGUEZ,08 AUG 1990, ESP, 952, 10 DEC 2023,ESP,Málaga
1431, Francisco DE LEON RODRIGUEZ,08 AUG 1990, ESP, 952, 22 OCT 2023,ESP,Valencia
1431, Francisco DE LEON RODRIGUEZ,08 AUG 1990, ESP, 952, 14 MAY 2023,ESP,Santander
1431, Francisco DE LEON RODRIGUEZ,08 AUG 1990, ESP, 952, 15 APR 2023,ESP,Huelva
1431, Francisco DE LEON RODRIGUEZ,08 AUG 1990, ESP, 952, 11 MAR 2023,ESP,Laredo
1431, Francisco DE LEON RODRIGUEZ,08 AUG 1990, ESP, 952, 29 JAN 2023,Ortuella - XC 9.5km,Circuito Las Balsas
1432, Evan MINOR,28 MAY 1999, USA, 952, 03 DEC 2023,USA,Sacramento
1433, Rhodri OWEN,27 JUN 1989, GBR, 952, 03 DEC 2023,ESP,Valencia
1433, Rhodri OWEN,27 JUN 1989, GBR, 952, 01 OCT 2023,GBR,Cardiff
1433, Rhodri OWEN,27 JUN 1989, GBR, 952, 15 AUG 2023,GBR,Longford Stadium Trafford
1433, Rhodri OWEN,27 JUN 1989, GBR, 952, 25 JUL 2023,GBR,Longford Stadium Trafford
1434, Hiroki KAI,05 AUG 1994, JPN, 952, 17 DEC 2023,TPE,Taipei City
1434, Hiroki KAI,05 AUG 1994, JPN, 952, 02 JUL 2023,AUS,Gold Coast
1434, Hiroki KAI,05 AUG 1994, JPN, 952, 05 MAR 2023,JPN,Tokyo
1435, Takuya SAITO,10 JUL 1987, JPN, 952, 03 DEC 2023,JPN,Fukuoka
1435, Takuya SAITO,10 JUL 1987, JPN, 952, 05 MAR 2023,JPN,Tokyo
1436, Ezequiel CHAVARRIA,18 APR 1989, ARG, 952, 27 AUG 2023,ARG,Buenos Aires
1436, Ezequiel CHAVARRIA,18 APR 1989, ARG, 952, 11 JUN 2023,ARG,Concepción del Uruguay
1436, Ezequiel CHAVARRIA,18 APR 1989, ARG, 952, 14 MAY 2023,ARG,Cef N°3 Hugo Mario La Nasa
1436, Ezequiel CHAVARRIA,18 APR 1989, ARG, 952, 29:52.44 ,ARG,Argentinian Championships
1437, Jonathan MOTT,10 FEB 1987, USA, 952, 17 APR 2023,USA,Boston
1438, Jian LI,, CHN, 951, 20 OCT 2024,JPN,Tokyo
1438, Jian LI,, CHN, 951, 29 SEP 2024,GER,Berlin
1438, Jian LI,, CHN, 951, 21 APR 2024,CHN,Shanghai
1438, Jian LI,, CHN, 951, 10 MAR 2024,CHN,Suzhou
1439, Dae-hoon KIM,24 JUL 2002, KOR, 951, 29 OCT 2023,KOR,Chuncheon
1439, Dae-hoon KIM,24 JUL 2002, KOR, 951, 32:17.02 ,KOR,104th National Sports Festival
1439, Dae-hoon KIM,24 JUL 2002, KOR, 951, 31:34.04 ,KOR,Korean University Athletics Meeting
1439, Dae-hoon KIM,24 JUL 2002, KOR, 951, 07 JUL 2023,KOR,Iksan Stadium
1439, Dae-hoon KIM,24 JUL 2002, KOR, 951, 30:50.81 ,KOR,51st Flag of KBS National Athletics Meeting
1439, Dae-hoon KIM,24 JUL 2002, KOR, 951, 06 MAY 2023,KOR,Yecheon Stadium
1439, Dae-hoon KIM,24 JUL 2002, KOR, 951, 26 MAR 2023,KOR,Incheon
1440, Jesper FAURSCHOU,01 JUL 1983, DEN, 951, 17 SEP 2023,DEN,København - Danish Half Marathon Ch
1440, Jesper FAURSCHOU,01 JUL 1983, DEN, 951, 14 MAY 2023,DEN,København - Danish Marathon Ch
1440, Jesper FAURSCHOU,01 JUL 1983, DEN, 951, 22 APR 2023,DEN,Århus
1440, Jesper FAURSCHOU,01 JUL 1983, DEN, 951, 02 APR 2023,GER,Berlin
1441, Aifeng HUANG,06 JUL 1987, CHN, 951, 25 AUG 2024,CHN,Harbin
1441, Aifeng HUANG,06 JUL 1987, CHN, 951, 26 MAY 2024,CHN,Lanzhou
1441, Aifeng HUANG,06 JUL 1987, CHN, 951, 31 MAR 2024,CHN,Shijiazhuang
1441, Aifeng HUANG,06 JUL 1987, CHN, 951, 10 MAR 2024,CHN,Nanjing
1442, Yenew ALAMIREW,27 MAY 1990, ETH, 951, 05 NOV 2023,USA,New York
1443, Nodirbek MUTALIPOV,27 JUL 2001, UZB, 950, 01 OCT 2023,KAZ,Almaty
1443, Nodirbek MUTALIPOV,27 JUL 2001, UZB, 950, 06 AUG 2023,CHN,Shuangliu Sports Centre
1443, Nodirbek MUTALIPOV,27 JUL 2001, UZB, 950, 12 MAR 2023,UZB,Tashkent
1444, Florian RÖSER,23 MAR 1993, GER, 950, 01 OCT 2023,GER,Köln - German Marathon Ch
1444, Florian RÖSER,23 MAR 1993, GER, 950, 26 MAR 2023,GER,Freiburg
1445, Abraham ZERIHUN,19 NOV 1997, ETH, 950, 08 OCT 2023,POR,Lisboa
1446, Manuele POLLI,1998, SUI, 950, 23 APR 2023,SUI,Zürich - Swiss Marathon Ch
1447, Haoran WU,10 SEP 1991, CHN, 950, 17 DEC 2023,CHN,Huangshi
1447, Haoran WU,10 SEP 1991, CHN, 950, 30 APR 2023,CHN,Yichang
1448, Bo FANG,17 NOV 1991, CHN, 950, 25 AUG 2024,CHN,Harbin
1448, Bo FANG,17 NOV 1991, CHN, 950, 26 MAY 2024,CHN,Beijing
1448, Bo FANG,17 NOV 1991, CHN, 950, 10 MAR 2024,CHN,Nanjing
1449, Mrait EL HOUCINE,, MAR, 950, 30 APR 2023,MAR,Rabat
1450, Manuel SCHRÄDER,1992, GER, 950, 29 SEP 2024,GER,Berlin
1450, Manuel SCHRÄDER,1992, GER, 950, 15 SEP 2024,GER,Hamburg
1451, Phillip KIPTOO,, UGA, 949, 16 DEC 2023,UAE,Abu Dhabi
1452, Omar SALVADOR,10 FEB 1992, MEX, 949, 26 NOV 2023,MEX,Puebla
1452, Omar SALVADOR,10 FEB 1992, MEX, 949, 22 OCT 2023,MEX,Juárez
1453, Brendan WONG,1994, CAN, 949, 15 OCT 2023,CAN,Toronto - Canadian Marathon Ch
1453, Brendan WONG,1994, CAN, 949, 24 SEP 2023,CAN,Vancouver
1453, Brendan WONG,1994, CAN, 949, 27 JUL 2023,CAN,McLeod Stadium
1453, Brendan WONG,1994, CAN, 949, 25 JUN 2023,CAN,Vancouver
1453, Brendan WONG,1994, CAN, 949, 07 MAY 2023,CAN,Vancouver
1453, Brendan WONG,1994, CAN, 949, 12 FEB 2023,CAN,Vancouver
1454, Mohamed HASHI,10 SEP 1993, GBR, 949, 03 DEC 2023,ESP,Valencia
1454, Mohamed HASHI,10 SEP 1993, GBR, 949, 01 OCT 2023,GBR,Cardiff
1454, Mohamed HASHI,10 SEP 1993, GBR, 949, 27 AUG 2023,GBR,Larne
1454, Mohamed HASHI,10 SEP 1993, GBR, 949, 01 JUL 2023,GBR,Woodside Stadium
1454, Mohamed HASHI,10 SEP 1993, GBR, 949, 15 JAN 2023,ESP,Valencia
1455, Luc ESSINK,1993, NED, 949, 19 NOV 2023,NED,Nijmegen
1455, Luc ESSINK,1993, NED, 949, 03 SEP 2023,NED,Rotterdam
1455, Luc ESSINK,1993, NED, 949, 16 APR 2023,NED,Rotterdam
1455, Luc ESSINK,1993, NED, 949, 02 APR 2023,NED,Brunssum
1455, Luc ESSINK,1993, NED, 949, 12 MAR 2023,NED,Den Haag
1455, Luc ESSINK,1993, NED, 949, 12 FEB 2023,NED,Schoorl
1456, Jonas NILSSON,16 MAR 1992, SWE, 949, 03 DEC 2023,ESP,Valencia
1457, David MUTAI,08 JAN 1986, KEN, 948, 07 MAY 2023,CAN,Vancouver
1458, Maerdan AKELAMUHAN,11 SEP 2003, CHN, 948, 29 OCT 2023,CHN,Beijing
1459, Benjamin ALQUIER,24 FEB 1990, FRA, 948, 03 DEC 2023,ESP,Valencia
1459, Benjamin ALQUIER,24 FEB 1990, FRA, 948, 24 SEP 2023,FRA,Montbéliard
1459, Benjamin ALQUIER,24 FEB 1990, FRA, 948, 08 JUL 2023,FRA,Stade Raymond Troussier
1459, Benjamin ALQUIER,24 FEB 1990, FRA, 948, 24 JUN 2023,FRA,Stade des Maradas
1459, Benjamin ALQUIER,24 FEB 1990, FRA, 948, 03 JUN 2023,FRA,Stade Municipal
1459, Benjamin ALQUIER,24 FEB 1990, FRA, 948, 18 MAY 2023,SUI,Stadion Hard
1460, Romain MEUNIER,28 JAN 1994, FRA, 948, 08 OCT 2023,FRA,Paris
1460, Romain MEUNIER,28 JAN 1994, FRA, 948, 17 SEP 2023,DEN,København
1460, Romain MEUNIER,28 JAN 1994, FRA, 948, 16 APR 2023,NED,Rotterdam
1461, Matthew WHITAKER,29 MAY 1992, AUS, 948, 15 OCT 2023,AUS,Cricket Ground
1462, Matěj ZIMA,29 JUL 1998, CZE, 948, 24 NOV 2023,Dříteč - XC 10.0km,Golf resort
1462, Matěj ZIMA,29 JUL 1998, CZE, 948, 05 NOV 2023,FRA,Nice
1462, Matěj ZIMA,29 JUL 1998, CZE, 948, 24 SEP 2023,CZE,Běchovice
1462, Matěj ZIMA,29 JUL 1998, CZE, 948, 02 SEP 2023,CZE,Praha
1462, Matěj ZIMA,29 JUL 1998, CZE, 948, 07 MAY 2023,CZE,Praha - Czech Marathon Ch
1462, Matěj ZIMA,29 JUL 1998, CZE, 948, 01 APR 2023,CZE,Praha
1463, Kyle SMITH,12 JUN 1988, USA, 947, 03 DEC 2023,USA,Sacramento
1463, Kyle SMITH,12 JUN 1988, USA, 947, 14 OCT 2023,USA,Valley Cottage
1463, Kyle SMITH,12 JUN 1988, USA, 947, 21 JAN 2023,VA - XC 10.0km,Pole Green Park
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 11 NOV 2023,VA - XC 10.0km,UQ Athletic Centre
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 21 OCT 2023,VA - XC 10.0km,QSAC State Athletics Facility
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 11 JUN 2023,AUS,Riverbend Park
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 31 MAR 2023,AUS,Queensland Sport and Athletics Centre
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 25 MAR 2023,AUS,Queensland Sport and Athletics Centre
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 09 MAR 2023,AUS,Queensland Sport and Athletics Centre
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 01 MAR 2023,AUS,Queensland Sport and Athletics Centre
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 19 FEB 2023,ESP,Sevilla
1464, Aidan HOBBS,06 OCT 1986, AUS, 947, 07 JAN 2023,ESP,QSAC State Athletics Facility
1465, Linus KORSMEIER,21 MAR 1998, GER, 947, 01 OCT 2023,GER,Köln - German Marathon Ch
1465, Linus KORSMEIER,21 MAR 1998, GER, 947, 03 SEP 2023,GER,Münster
1465, Linus KORSMEIER,21 MAR 1998, GER, 947, 02 APR 2023,GER,Berlin
1465, Linus KORSMEIER,21 MAR 1998, GER, 947, 26 MAR 2023,GER,Freiburg
1466, Cameron BECKETT,15 JUN 1990, USA, 947, 03 DEC 2023,USA,Sacramento
1466, Cameron BECKETT,15 JUN 1990, USA, 947, 08 OCT 2023,USA,Chicago
1467, Jie WANG,19 OCT 1994, CHN, 946, 29 OCT 2023,CHN,Xi'an
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 12 NOV 2023,GRE,Athina - Balkan Marathon Ch
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 21 OCT 2023,BUL,Pirdop - XC 10.0km
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 09 JUL 2023,BUL,Stadium Ivaylo
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 08 JUL 2023,BUL,Stadium Ivaylo
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 16 APR 2023,NED,Rotterdam
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 29 JAN 2023,BUL,Asics Arena
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 28 JAN 2023,BUL,Asics Arena
1468, Miroslav SPASOV,01 FEB 1995, BUL, 946, 07 JAN 2023,BUL,Asics Arena
1469, Andreas Myhre SJURSETH,05 FEB 1985, NOR, 946, 05 NOV 2023,USA,New York
1469, Andreas Myhre SJURSETH,05 FEB 1985, NOR, 946, 17 SEP 2023,DEN,København
1469, Andreas Myhre SJURSETH,05 FEB 1985, NOR, 946, 03 SEP 2023,NOR,Drammen
1469, Andreas Myhre SJURSETH,05 FEB 1985, NOR, 946, 31:28.23 ,NOR,Norwegian Championships
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 30:40.84 ,NOR,Australian 10
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 29 OCT 2023,AUS,Foreshore
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 15 OCT 2023,AUS,Cricket Ground
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 17 SEP 2023,AUS,Adelaide
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 01 JUL 2023,AUS,Southport
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 11 JUN 2023,AUS,Riverbend Park
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 02 APR 2023,AUS,Queensland Sport and Athletics Centre
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 18 MAR 2023,AUS,Northern Athletic Centre
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 17 MAR 2023,AUS,Northern Athletic Centre
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 05 MAR 2023,AUS,Hobart
1470, Bailey MURZECKI-HINCE,07 MAR 1998, AUS, 946, 02 FEB 2023,AUS,Hagenauer Reserve
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 26 NOV 2023,ITA,Firenze
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 15 OCT 2023,ITA,Telese Terme - Italian Half Marathon Ch
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 17 SEP 2023,ITA,Stadio Comunale Emilio Colombo-Gaetano Gianetti
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 10 SEP 2023,ITA,Pescara
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 26 JUL 2023,273m,Castelbuono - Non-standard distance: 11
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 31 MAY 2023,ITA,Campo Sportivo Putti
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 29:25.99 ,ITA,Night of the 10
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 17 MAY 2023,ITA,Pista Lino Parzani
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 29:46.06 ,ITA,Italian 10
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 29 APR 2023,ITA,Arena Civica Gianni Brera
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 22 APR 2023,ITA,Centro di Atletica
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 30:07.08 ,ITA,Campionati Regionale 10.000m
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 12 MAR 2023,ITA,Gubbio - XC 10.0km
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 12 FEB 2023,ITA,Rovereto - XC 9.0km
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 15 JAN 2023,ITA,San Vittore Olona - XC 10.2km
1471, Andrea SOFFIENTINI,24 OCT 1988, ITA, 946, 06 JAN 2023,ITA,San Giorgio su Legnano - XC 10.0km
1472, Andrew GELSTON,10 SEP 1990, USA, 946, 03 DEC 2023,USA,Sacramento
1472, Andrew GELSTON,10 SEP 1990, USA, 946, 08 OCT 2023,USA,Chicago
